,mat_id,composition
448,mp-1186266,Nd6Dy2
449,mp-1025526,Lu2Au6
450,mp-975586,Pr6Y2
451,mp-976221,K6Sm2
452,mp-1186565,Pm2Dy6
453,mp-1185168,K2Rb6
454,mp-1094665,Li1Mg3
455,mp-1186976,Sc6Sn2
456,mp-568337,Th2Rh4
457,mp-383,Rb4Te2
458,mp-579718,Th2Cu1
459,mp-1074738,Mg8Si4
460,mp-1208228,Ti3Nb1Al2
461,mp-1018796,Mg4Si2
462,mp-22514,Mn4Sn2
463,mp-1206322,Ce2Ag4
464,mp-1071536,U2Sn2Au2
465,mp-21486,Tm4In2
466,mp-975644,Be1F2
467,mp-30495,Sm1Cd2
468,mp-20762,U2Sn2Pd2
469,mp-31000,N4O4
470,mp-1180220,N4O4
471,mp-556660,C8O8
472,mp-31000,N4O4
473,mp-632291,H2
474,mp-1091399,O8
475,mp-861889,Sc6Tc2
476,mp-1187635,Tm6Al2
477,mp-1207127,Cu2Sn2Pd4
478,mp-1005760,Tl6Os2
479,mp-1183817,Dy2Mg6
480,mp-866201,Ti6Bi2
481,mp-1187478,Ti2Cd6
482,mp-1094340,Mg1Ti5
483,mp-1186754,Pr6In2
484,mp-1094906,Ca5Mg1
485,mp-864735,Mn6Ir2
486,mp-865193,Co6Pt2
487,mp-1094292,Sr5Mg1
488,mp-1183107,Ac6I2
489,mp-1187048,Sn6Au2
490,mp-1094548,Mg6Sb2
491,mp-1186861,Rb6Na2
492,mp-1184355,Ga6Ge2
493,mp-30722,Sc2Hg6
494,mp-1187017,Si2Pb6
495,mp-983509,Na6Cd2
496,mp-1094988,Mg1Sn3
497,mp-1184391,Eu6Cr2
498,mp-976356,Nd2Sc6
499,mp-1185925,Mn3I1
500,mp-768,Tm1Al3
501,mp-1186429,Pm1
502,mp-1184154,Er3Hg1
503,mp-1020,Ta1Rh3
504,mp-977585,Zr3Tl1
505,mp-2093,Pr3Al1
506,mp-581934,Pu3Ge1
507,mp-1187581,Tm1Ru3
508,mp-1018061,Fe1H3
509,mp-1184331,Er1Pa3
510,mp-973777,Hg3F1
511,mp-1183916,Cs1Ho3
512,mp-1184165,Er3Ga1
513,mp-1184926,Ho1Np3
514,mp-1184733,Gd1Th3
515,mp-979009,Th3Be1
516,mp-862864,Pa3Ge1
517,mp-1094791,Mg3Zn1
518,mp-1018101,Al1Co3
519,mp-1187700,U1Mn3
520,mp-111,Ne1
521,mp-1185406,Li1Pr3
522,mp-21431,Ho1In3
523,mp-1183295,Ba3Sb1
524,mp-1186028,Na3Ga1
525,mp-1186463,Pd1S3
526,mp-974332,S3Br1
527,mp-1097832,C2
528,mp-19819,Gd1In1
529,mp-21293,Li3In2
530,mp-1096915,Cs1
531,mp-22787,Fe4Si2
532,mp-1216538,U1Nb1
533,mp-1218999,Sn1As1Pd6
534,mp-1099090,Ba1Mg14Fe1
535,mp-1100191,Y1Mg5
536,mp-1094315,Zr8Sn6
537,mp-1094492,Mg2Zn4
538,mp-1185208,Li6Lu2
539,mp-1185881,Mg1Hg3
540,mp-1094660,Mg1Ga3
541,mp-1094648,Mg3Ga3
542,mp-1186290,Nd6Zn2
543,mp-30596,Cu11Sb3
544,mp-1094987,Mg2Al2
545,mp-1094422,Mg4Zn2
546,mp-1094509,Mg3Ti3
547,mp-1094612,Mg5Ga1
548,mp-862857,Pa2S6
549,mp-1094759,La3Mg1
550,mp-1094407,Y3Mg3
551,mp-1094416,Mg8Ti8
552,mp-568286,C4
553,mp-1018088,C4
554,mp-604884,B2N2
555,mp-981544,Pr3
556,mp-567638,Ta4Pt12
557,mp-1220129,Nd3Dy3
558,mp-975590,Kr3
559,mp-1018134,Li3
560,mp-570017,Mg20Au60
561,mp-1222752,La3Y3
562,mp-990448,C2
563,mp-1014296,C6N2
564,mp-344,B4N4
565,mp-1183872,Ce3Cu1
566,mp-1183694,Cs1
567,mp-1187030,Sn3Ge1
568,mp-867780,Al3Cr1
569,mp-971835,Tl3H1
570,mp-1094293,Sr3Mg1
571,mp-977314,Na1Lu3
572,mp-1184001,Ga1Cu3
573,mp-973308,Mg1In3
574,mp-2554,Al3V1
575,mp-1184268,Ga3Hg1
576,mp-999394,Nb3Ni1
577,mp-974745,Rb3Tm1
578,mp-974445,Re3Ge1
579,mp-1097223,Y1Zn1Au2
580,mp-1056831,O1
581,mp-1096673,Mn1Cd1Rh2
582,mp-1097605,Al1Tc2W1
583,mp-1096256,Sc2Pd1Rh1
584,mp-1096193,Zr2Cr1Tc1
585,mp-1096611,Zr1Sc1Pd2
586,mp-1095779,Al1Ga1Ni2
587,mp-1096610,Y2Mg1Ga1
588,mp-1095827,Re1Si2Tc1
589,mp-1097647,Y2Pd1Pt1
590,mp-1097521,Ca2Tl1Ga1
591,mp-1096394,Li1Mg1Pt2
592,mp-1097210,La1Cd2In1
